Eclust,W1Cclust,W2Cclust,Xclust,Yclust,ERclust,ptisoR4,ptisoR4HCAL,totalptR4,y
292.22925,0.6460894,0.5600999,-37.959007,3.224173,0.25957325,11.345171,5.245091,16.590262000000003,0
74.23483,0.7188836,0.5672098,-23.175596,11.671518,0.10316413,1.3570232,0.53901744,1.8960406399999998,1
334.41266,0.70572233,0.3915907,12.712422,-23.715658,0.25263453,0.06850605,0.84527224,0.91377829,1
57.587173,0.7287122,0.556423,15.148741,-21.44926,0.07405999,2.5316322,3.9581726,6.4898048,1
108.96271,0.7177075,0.5801466,-13.284101,-36.044083,0.2248935,15.4129925,3.8233361,19.2363286,0
144.19324,0.73710054,0.5528253,27.712214,-16.102356,0.09344596,10.639665,7.5648293,18.2044943,0
165.98494,0.99402994,0.5606619,-7.022322,-19.826588,0.25980625,26.845253,6.244586,33.089839,0
73.75041,0.7075448,0.61752826,-10.35913,-20.038216,0.23577975,10.827815,0.59919703,11.42701203,1
533.65533,0.7179496,0.539481,8.267355,5.645244,0.23707637,0.59465504,1.4319273,2.02658234,0
156.4538,0.8882316,0.4939856,17.60309,-16.290089,0.0,15.969319,0.59208703,16.56140603,1
596.9245,0.63265896,0.58872473,13.365777,19.146433,0.18946935,0.6910821,1.0225301,1.7136122,1
86.64511,0.94671625,0.58901495,18.093851,7.8128924,0.300719,0.61059904,0.60736734,1.21796638,1
106.616875,0.66141933,0.56882197,-9.304851,17.860111,0.34177977,44.626038,5.1516724,49.777710400000004,0
77.07964,0.8885813,0.6281397,-26.260822,-16.840609,0.083989635,1.6269324,2.2166376,3.8435699999999997,0
162.22641,0.7016017,0.61788446,6.243918,-25.023727,0.14797026,4.993294,13.640378,18.633672,0
33.134743,0.6663749,0.5469119,36.739353,-28.89765,0.10213891,4.7680407,0.15871023,4.92675093,1
124.20167,0.811303,0.35866815,10.627055,-6.932389,0.13823222,12.982324,1.3790532,14.3613772,1
129.27515,0.7994938,0.64437723,-6.964826,-19.892563,0.099428006,5.3033404,0.88392365,6.18726405,1
138.7786,0.7263187,0.61126655,-6.1131077,16.628769,0.13154776,13.451428,12.717036,26.168464,1
61.689537,1.3552144,0.6332942,20.210072,-10.871282,0.1735567,0.84583247,1.0652035,1.91103597,1
59.79667,0.89947736,0.66652733,-20.644735,-16.225967,0.08367633,1.547298,2.6661358,4.213433800000001,0
221.38885,1.0414844,0.63560456,12.778419,14.7377615,0.18312004,1.6394215,2.0160449,3.6554664,0
192.86719,0.78875434,0.55454016,-3.3784165,-6.505428,0.23787187,0.15832561,0.98713976,1.1454653700000001,1
121.02939,0.67426395,0.60114825,-18.125187,26.363398,0.24063773,18.8202,2.169337,20.989537,0
145.71863,0.951043,0.5470646,-35.84638,25.59145,0.5255996,22.032532,4.234716,26.267248,0
61.225506,0.76737505,0.6028751,-23.442818,-14.459085,0.20660762,0.031024272,8.570943,8.601967272,1
154.6811,1.0357708,0.6892943,8.487142,-7.5491247,0.19014849,2.2657506,9.064226,11.3299766,1
135.50104,1.5360581,0.6838917,-9.594698,-20.524218,0.0,2.3980508,7.1400905,9.5381413,1
143.21953,1.0273132,0.73272306,-7.402785,-9.84492,0.0,2.7084122,3.6194887,6.3279008999999995,0
39.541565,0.9023025,0.7190663,21.978205,-38.54018,0.103216186,5.3780475,1.6607786,7.0388261,0
110.0398,0.5991384,0.49549314,-27.666277,-6.0008173,0.22220853,17.474157,1.6131233,19.087280300000003,1
52.053036,0.981613,0.5410849,16.146467,-21.953344,0.10163191,2.7386606,3.3594031,6.0980637,1
315.23804,0.96917397,0.6081042,-7.318405,3.167411,0.30273128,3.104919,1.9613068,5.0662258,1
80.40589,1.3822447,0.44247544,-15.209719,19.460566,0.12333159,2.2144632,3.3287683,5.5432315,0
118.97083,0.6866452,0.51180106,5.3323298,12.443958,0.25211546,17.968405,4.77481,22.743215,0
350.9642,0.59271395,0.53223014,-10.742338,6.2443895,0.25963342,0.9442616,0.26740092,1.21166252,1
169.88742,0.7243242,0.5450086,-6.162041,30.476248,0.112814955,0.037653115,23.524868,23.562521115000003,0
59.643196,0.6620673,0.5183861,25.578272,-21.3363,0.43344483,12.54274,2.1845644,14.727304400000001,1
76.428505,0.8356542,0.76818657,9.7318125,19.698826,0.22501762,11.833753,3.127781,14.961534,1
237.48105,0.8464541,0.37984315,-10.420917,17.25882,0.12399727,1.0121235,2.9758565,3.98798,1
317.96088,0.7319837,0.61884284,-7.023432,7.612804,0.14229693,0.059160203,3.3024225,3.361582703,0
48.04237,2.037917,0.6511863,40.577152,-7.4933653,0.083514065,7.1683946,12.841739,20.0101336,1
34.599308,0.90374035,0.67248476,8.080109,-44.353706,0.13679749,20.405672,3.0657358,23.471407799999998,0
38.498913,0.8964301,0.5408771,-5.206241,-40.162064,0.058873814,0.78038967,1.1585824,1.9389720700000002,1
82.321014,0.5715749,0.4891626,18.121525,-40.197285,0.0,0.28150237,1.2747378,1.5562401700000001,1
68.17076,0.82834566,0.5985598,-18.002237,-10.772397,0.0,0.04875743,0.04166074,0.09041816999999999,1
51.622437,1.9234543,1.1365519,-5.3216205,37.39357,0.03144984,7.411159,15.688453,23.099612,0
244.54181,0.6377745,0.58539325,-3.836427,19.119745,0.19600096,9.682392,2.8716183,12.5540103,1
64.444046,0.87357503,0.5702265,-14.199886,31.421791,0.044300515,2.659919,3.8361313,6.4960503,1
39.16609,1.0106957,0.5341859,-41.557835,-7.7218175,0.07238098,0.0,0.058649324,0.058649324,0
165.34845,1.1757795,0.8874791,-9.100847,9.896121,0.0,1.1372386,7.1997976,8.3370362,1
257.34314,0.69029385,0.5692489,-7.1809716,-1.5539579,0.72041714,0.5730447,0.64631987,1.21936457,1
75.81941,1.1183949,0.66608477,2.7167585,-22.14529,0.06712992,4.9785895,3.8490496,8.827639099999999,0
272.02094,1.1533031,0.5383405,-6.33042,-0.9987376,0.10267823,0.018016674,0.30759978,0.325616454,0
43.966644,0.6119964,0.5592074,-32.01555,9.129915,0.0,10.656427,5.802198,16.458625,0
90.64319,0.93270963,0.7599933,9.325921,35.92854,0.67464936,0.20968628,2.8101487,3.01983498,1
